Compound ID	Smiles
EOAI10089186	CC1=CC=C(C)C(=C1)C1=NN2C=CN3C(=O)N(CC(=O)NCC4=CC=CC=C4)N=C3C2=C1
EOAI10403337	CC1=CC=C(C)C(=C1)C1=NN2C=CN3C(=O)NN=C3C2=C1
EOAI10403338	CC1=CC=C(C)C(=C1)C1=NN2C=CN3C(=O)N(CC(O)=O)N=C3C2=C1
EOAI10403357	CC1=CC=C(C)C(=C1)C1=NN2C=CN3C(=O)N(CC(=O)NCC4=CC=NC=C4)N=C3C2=C1
EOAI10403399	CN(CC1=CC=CC=C1)C(=O)CN1N=C2N(C=CN3N=C(C=C23)C2=CC(C)=CC=C2C)C1=O
EOAI10403402	CC1=CC=C(C)C(=C1)C1=NN2C=CN3C(=O)N(CC(=O)NCC4=NC=CC=N4)N=C3C2=C1
EOAI10403403	CC1=CC=C(C)C(=C1)C1=NN2C=CN3C(=O)N(CC(=O)NCC4=NC=CO4)N=C3C2=C1
EOAI10403404	CC1=CC=C(C)C(=C1)C1=NN2C=CN3C(=O)N(CC(=O)NC(C4CCCCC4)C4=CC(Cl)=CC(Cl)=C4)N=C3C2=C1
EOAI10404086	CC1=CC=C(C)C(=C1)C1=NN2C=CN3C(=O)N(CC(=O)NCC4=CC(CO)=NO4)N=C3C2=C1
EOAI10404087	CNC(=O)CN1N=C2N(C=CN3N=C(C=C23)C2=CC(C)=CC=C2C)C1=O
EOAI10404089	CC1=CC=C(C)C(=C1)C1=NN2C=CN3C(=O)N(CC(N)=O)N=C3C2=C1
EOAI10404681	CC1=CC=C(C)C(=C1)C1=NN2C=CN3C(=O)N(CC(=O)NCC4CC(F)(F)CN4C(=O)OC(C)(C)C)N=C3C2=C1
EOAI10404682	CC1=CC=C(C)C(=C1)C1=NN2C=CN3C(=O)N(CC(=O)NC4(CF)CCN(C4)C(=O)OC(C)(C)C)N=C3C2=C1
EOAI10404683	CN(C)CC1(CNC(=O)CN2N=C3N(C=CN4N=C(C=C34)C3=CC(C)=CC=C3C)C2=O)CC1
EOAI10404694	CN1CCN2N=CC(CNC(=O)CN3N=C4N(C=CN5N=C(C=C45)C4=CC(C)=CC=C4C)C3=O)=C2C1
EOAI10404695	CN1CCN2CCN(CC2C1)C(=O)CN1N=C2N(C=CN3N=C(C=C23)C2=CC(C)=CC=C2C)C1=O
EOAI10404696	CN(C)CC1=CSC(CNC(=O)CN2N=C3N(C=CN4N=C(C=C34)C3=CC(C)=CC=C3C)C2=O)=N1
